"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"cuidado";1,527;-2,566;-1,176;0,654;-3,567;17,588;-2,666
"costumar";16,121;-1,133;-3,543;2,888;-4,131;-2,856;0,037
"convencer";-0,457;-2,837;-1,456;-1,614;1,019;14,686;0,078
"consideração";-0,59;30,581;-1,599;0,238;-2,094;-1,041;-1,226
"competência";-1,689;4,985;-0,001;8,474;-4,131;0,102;-3,088
"cogitar";-0,457;-1,019;1,749;-3,573;-1,923;9,902;0,892
"cobrir";-0,337;-0,906;-1,315;3,868;8,838;-2,596;-0,987
"cientista";19,678;-2,702;-3,221;-3,403;-3,755;1,435;1,105
"cadeira";6,695;-2,837;6,692;-3,573;-3,943;3,154;-2,947
"bumlai";-5,327;-0,112;-3,382;-3,573;88,291;-2,726;-2,947
"avisar";4,176;-1,019;-0,33;-3,573;4,874;-0,078;-1,106
"atualização";-3,112;-1,019;26,175;-0,001;0,169;-0,932;-2,947
"atribuição";0,087;0,835;-0,001;8,474;-4,131;-1,041;-1,226
"atibaia";-5,581;-1,133;-3,543;-3,744;105,245;-2,856;-3,088
"assinatura";-3,112;-1,019;-3,382;-1,614;4,874;20,409;-0,149
"arsenal";-1,689;-2,972;-3,543;-3,744;-4,131;-2,856;126,398
"apresentação";0,17;1,031;0,003;-0,423;-1,923;6,059;-2,947
"angola";-4,565;-2,431;-2,898;8,626;27,863;-2,336;-2,526
"alimento";-5,073;-2,702;-3,221;104,547;-3,755;-2,596;-0,987
"alexandrino";-1,106;-2,566;-3,059;-3,232;77,74;-2,466;-2,666
"agravar";-0,59;-0,164;-1,599;2,888;-4,131;2,75;2,228
"acionar";-2,873;3,292;16,291;-0,33;-1,753;-2,596;-0,097
"absurdo";0,087;0,065;0,347;-0,014;-0,076;0,102;-1,226
"visar";-5,327;1,031;-1,456;13,611;-0,62;-2,726;2,591
"violar";-0,14;7,921;-0,113;-3,062;-3,379;-0,621;7,408
"verba";-1,294;-2,702;-1,315;20,319;-0,504;3,611;-2,807
"terrorismo";-0,925;-0,01;-2,898;-1,167;-3,379;-0,621;49,457
"tendência";-1,489;-2,837;-0,33;18,57;-3,943;-0,078;2,591
"surpresa";4,869;-2,702;0,022;-0,33;-1,753;1,435;-0,097
"sucessor";9,806;-0,112;1,749;-1,614;-3,943;-0,932;-0,149
"secreto";2,249;-1,019;-1,456;-0,423;-0,62;-0,932;8,644
"rossi";-3,803;-2,025;-0,65;-2,551;56,768;-0,341;-2,104
"retorno";4,869;-0,906;0,022;0,485;-1,753;0,246;-2,807
"reafirmar";-0,457;0,116;0,476;-1,614;1,019;-0,078;0,078
"quebra";-3,112;1,031;20,105;-0,423;0,169;-2,726;-2,947
"processar";0,286;20,982;0,022;-0,33;-3,755;-0,826;-2,807
"precedente";0,913;5,595;-1,456;-3,573;-1,923;-0,078;2,591
"potencial";-5,327;-0,112;-0,33;3,347;-3,943;0,164;12,999
"perseguição";3,267;16,599;-3,059;-1,314;0;-2,466;-2,666
"pensamento";15,044;-2,702;-0,249;-1,463;-3,755;1,435;-0,097
"particular";-0,457;0,116;-1,456;9,421;-0,62;-0,078;-0,149
"pacheco";-2,4;-0,689;85,071;-3,062;-3,379;-2,336;-2,526
"osmar";0,286;-2,702;52,935;-3,403;-3,755;-0,826;-2,807
"oab";-0,925;12,555;14,141;-3,062;-3,379;-0,621;-2,526
"nordeste";-1,294;-2,702;-3,221;20,319;-1,753;-0,826;5,831
"mapa";-1,489;-2,837;1,749;24,297;-3,943;0,164;-2,947
"interessar";0,17;-2,837;0,003;0,348;-0,62;3,154;-0,149
"inteiro";13,508;-2,837;-1,456;0,348;-0,62;-0,932;-0,149
"importação";-5,073;-2,702;-3,221;49,683;-1,753;-2,596;3,003
"ideológico";4,869;0,186;-3,221;-0,33;-1,753;0,246;0,137
"horário";-1,489;-1,019;-3,382;5,999;-3,943;-0,932;24,363
"greve";17,776;0,721;-2,576;0,231;-3,003;-2,076;-2,245
"globalização";0,286;-2,702;-3,221;14,996;-3,755;-2,596;5,831
"fux";-5,073;88,769;-0,249;-0,33;-3,755;-2,596;-2,807
"formal";-1,489;-1,019;-0,33;3,347;2,588;-0,078;-0,149
"fab";5,661;-2,566;17,918;-1,314;-1,585;-2,466;-2,666
"exame";-5,073;0,186;-0,249;49,683;-1,753;-2,596;-2,807
"evidência";-1,294;1,26;0,022;0,485;-0,009;0,246;-0,987
"essencial";-0,001;-0,068;-3,221;6,77;-3,755;1,435;0,137
"esplanada";-1,773;-0,945;1,272;-1,19;-0,012;14,388;-0,981
"esconder";0,17;-2,837;3,821;-3,573;2,588;-0,078;-0,149
"energia";6,695;-2,837;-1,456;9,421;-1,923;-0,078;-2,947
"edifício";-0,001;-2,702;-3,221;0,004;29,465;-2,596;-0,987
"doutor";-2,4;-2,431;-0,113;-1,167;52,121;-2,336;-2,526
"distribuição";-2,873;-2,702;2,087;0,004;5,565;0,246;-0,987
"devolver";-5,073;0,186;0,022;0,485;1,28;1,435;-0,987
"detenção";-4,565;74,752;-0,113;-1,167;-1,419;-2,336;-2,526
"detectar";-5,327;-2,837;-0,33;-1,614;-0,62;-2,726;79,7
"decidido";-0,017;0,116;-1,456;3,347;-0,62;-2,726;2,591
"credibilidade";-0,457;-1,019;1,749;0,348;-1,923;0,164;0,892
"corporação";4,869;-2,702;4,379;3,868;-3,755;-2,596;-2,807
"claudio";-5,073;-0,068;7,51;-3,403;17,644;-0,826;-2,807
"chuva";8,709;-2,566;-3,059;16,545;-3,567;-2,466;-0,871
"carl";-1,489;-2,837;-3,382;-3,573;-3,943;-2,726;119,318
"candidatar";-1,489;2,857;-3,382;-1,614;-3,943;52,695;-2,947
"autoria";-2,873;0,186;0,635;0,004;-3,755;22,18;-2,807
"augusto";0,441;-2,566;-3,059;-3,232;25,387;0,35;-2,666
"aplicação";-0,457;25,656;-3,382;3,347;-1,923;-2,726;-1,106
"andrade";-4,311;-2,296;1,337;-1,023;17,682;0,64;-2,385
"aluguel";-5,073;-2,702;-3,221;0,004;72,203;-2,596;-2,807
"agressão";1,527;-0,796;-3,059;-1,314;-3,567;-0,722;28,736
"adesão";0,609;-0,301;-2,253;-0,001;1,724;1,369;-1,964
"aceito";-5,073;0,186;4,379;0,004;8,838;-2,596;-2,807
"zanon";-4,311;-2,296;91,925;-1,023;-3,191;-2,206;-2,385
"visitar";-0,001;-2,702;-3,221;-0,33;0,268;-0,826;19,889
"tô";11,031;-2,702;7,51;-3,403;-0,504;-0,826;-2,807
"sarney";0,008;-0,796;8,431;-3,232;-1,585;7,578;-2,666
"reverter";-5,073;35,567;-1,315;0,485;-1,753;-0,043;-0,987
"restar";-1,294;-0,906;-0,249;-0,33;0,268;6,774;0,137
"requisito";-4,565;18,252;0,12;0,862;-1,419;-0,002;-2,526
"refinaria";-4,057;-2,161;-2,576;1,418;42,264;-2,076;-2,245
"presa";0,008;1,528;17,918;-1,314;-3,567;-0,722;-2,666
"pp";-2,873;-0,906;0,635;-0,33;1,28;10,923;-2,807
"posicionamento";2,972;2,632;-2,576;-0,883;-3,003;6,173;-2,245
"pcdob";-2,4;-0,689;-2,898;-3,062;4,177;34,503;-2,526
"orçamentário";-4,819;-2,566;-1,176;98,663;-3,567;-2,466;-2,666
"máquina";5,661;-2,566;-1,176;-0,244;-1,585;0,35;1,356
"moraes";1,192;44,294;-1,315;-3,403;-3,755;-0,826;-2,807
"liberal";1,192;-2,702;-3,221;0,004;-3,755;1,435;9,587
"legalidade";-0,925;12,555;-1,039;-0,169;1,951;-0,621;-2,526
"israel";-1,106;-2,566;-3,059;-1,314;-3,567;-2,466;91,33
"interferir";-1,294;-0,068;7,51;0,485;-0,009;-0,826;-0,987
"impossível";4,869;-0,068;-1,315;-0,33;-0,504;0,246;-0,097
"imigrante";52,747;-2,431;-1,039;-1,167;-3,379;-2,336;-2,526
"identificado";-0,925;-0,689;0,12;0,862;7,24;-2,336;-0,758
"homenagem";15,748;-0,585;-2,737;-2,892;-3,191;2,438;-0,004
"guardar";3,267;-0,033;0,06;-3,232;6,349;-2,466;-2,666
"guam";-5,073;-2,702;-3,221;-3,403;-3,755;-2,596;142,994
"gravidade";2,72;27,796;0,022;-3,403;-3,755;-2,596;-2,807
"futebol";8,709;-2,566;-3,059;0,025;0;1,721;-2,666
"funcionamento";0,895;-0,585;-2,737;20,249;-1,256;-0,523;-2,385
"fiscalizar";-2,4;0,394;2,931;5,141;-0,296;-0,621;-2,526
"expressão";12,411;3,785;-1,176;-1,314;-3,567;-2,466;-0,055
"exigência";-2,873;-2,702;-1,315;3,868;-0,009;16,058;-0,987
"exclusivo";-1,294;0,186;0,635;0,004;-3,755;3,611;0,137
"estimativa";-2,788;-1,485;-1,77;21,401;0,048;0,488;-1,542
"estabilidade";-2,4;-2,431;-1,039;8,626;-0,296;4,721;-0,023
"estabelecimento";-0,069;-2,296;-2,737;14,523;0,044;0,001;-0,648
"doença";37,308;-2,702;-3,221;1,773;-3,755;-2,596;-2,807
"documental";-4,819;0,277;-3,059;-3,232;67,032;-2,466;-2,666
"diário";0,441;-2,566;-1,176;-0,244;0,397;7,578;-0,871
"disponível";-1,106;0,277;0,06;0,654;-0,396;-0,722;1,356
"disparar";-5,073;-0,906;-0,249;-1,463;-3,755;-0,826;73,097
"desejo";11,031;-2,702;-3,221;-0,33;-1,753;-2,596;9,587
"depósito";-2,873;-2,702;-3,221;6,77;5,565;-2,596;3,003
"correção";-1,294;1,26;21,941;-0,33;-0,504;-2,596;-2,807
"contratação";-1,294;-2,702;-1,315;-0,33;52,847;-2,596;-2,807
"contrapartida";-5,073;-0,906;-3,221;-0,33;52,847;-0,043;-2,807
"compreender";-2,635;-2,566;-3,059;44,547;-3,567;1,721;-0,871
"compliance";-4,819;-2,566;-1,176;36,272;3,572;-2,466;-2,666
"chegada";-0,001;-0,068;-1,315;-3,403;-3,755;-0,826;42,311
"categoria";0,596;-1,35;-1,609;16,68;-1,876;-0,021;-1,402
"carga";-5,073;-2,702;0,635;26,45;-0,504;-0,826;-0,097
"cade";-2,166;-0,585;21,803;-2,892;4,875;-2,206;-2,385
"bahia";12,911;-2,161;-0,024;-0,883;0,106;-0,43;-2,245
"autonomia";1,527;-2,566;-3,059;11,668;-1,585;0,35;-0,871
"ator";37,308;-2,702;-3,221;-1,463;-1,753;-0,043;-0,987
"antecessor";-4,819;0,277;2,478;-1,314;-1,585;-0,722;15,697
"alimentar";4,869;-2,702;-3,221;1,773;-0,504;-2,596;3,003
"al_assad";-5,073;-2,702;-3,221;-3,403;-3,755;-2,596;142,994
"abordar";3,267;-0,033;-3,059;-1,314;-0,396;1,721;0,216
"zé";9,926;7,921;-1,039;-3,062;-3,379;-0,002;-2,526
"wagner";-0,14;-2,431;-0,113;-3,062;27,863;-0,002;-2,526
"vinson";-4,819;-2,566;-3,059;-3,232;-3,567;-2,466;135,833
"uss";-4,057;-2,161;-2,576;-2,721;-3,003;-2,076;114,357
"unir";1,606;-2,025;-2,415;-0,746;-2,815;3,416;6,171
"tocar";16,767;-0,796;-0,176;2,134;-3,567;-2,466;-2,666
"temporário";-4,819;30,176;-1,176;0,654;-1,585;0,35;-2,666
"substituto";-4,565;41,72;-1,039;-1,167;-3,379;4,721;-2,526
"ritmo";-0,14;-2,431;-1,039;8,626;-1,419;-0,621;4,013
"revelação";-1,106;-0,796;5,013;0,654;0;-0,722;-0,055
"restringir";-4,819;16,599;-1,176;-0,244;-3,567;1,721;1,356
"requerer";0,441;11,321;0,06;-3,232;-0,396;-2,466;-0,055
"relevante";0,046;-0,689;-0,113;2,553;0,562;-0,002;-2,526
"reino";-1,106;-2,566;-3,059;-0,244;-3,567;-0,722;66,553
"regular";-4,819;-0,033;5,013;16,545;-1,585;-2,466;-0,871
"recuperar";0,441;-2,566;-1,176;4,462;1,588;-0,017;-2,666
"recado";3,267;-2,566;-1,176;-0,244;-0,396;1,721;0,216
"racismo";26,294;-2,025;-2,415;1,786;-2,815;-1,946;-2,104
"questionamento";-0,14;4,349;5,735;-3,062;0,011;-0,621;-2,526
"promessa";-0,925;-0,689;-2,898;5,141;0,011;0,479;0,321
"proferido";-2,635;81,737;-1,176;-3,232;-0,396;-2,466;-2,666
"prevenção";0,441;-2,566;-1,176;22,271;-3,567;-0,722;-0,055
"poderoso";-0,14;-0,689;-1,039;-0,169;-1,419;-2,336;31,311
"pmdb_pr";-4,311;-0,585;91,925;-2,892;-3,191;-2,206;-2,385
"pm";-0,76;1,319;0,955;-0,51;-0,562;1,413;-0,42
"permanente";0,117;-2,296;-0,062;14,523;-0,207;-2,206;-0,648
"pedra";33,306;-2,025;-0,65;-0,017;-2,815;-1,946;-2,104
"participante";1,216;0,315;2,867;-0,85;-0,937;-0,648;-0,701
"olho";21,777;-0,033;-3,059;0,025;-3,567;-0,722;-0,871
"ogiva";-4,565;-0,689;-2,898;-3,062;-3,379;-2,336;112,889
"ofício";-0,925;25,012;1,059;-3,062;0,011;-2,336;-2,526
"ocde";-4,311;-2,296;-2,737;63,115;-3,191;-0,523;-0,004
"norte_americano";-2,635;-2,566;-3,059;-0,244;-3,567;-2,466;91,33
"nelson";-4,565;-0,01;-0,113;-3,062;7,24;13,346;-2,526
"mudo";9,926;-0,689;-2,898;-1,167;-3,379;4,721;-0,023
"mover";3,267;0,277;-0,176;0,025;-1,585;-0,722;-0,055
"mobilizar";3,267;0,277;-1,176;-1,314;-3,567;-2,466;10,645
"miller";-4,565;-2,431;85,071;-3,062;-0,296;-2,336;-2,526
"milhar";2,404;-0,585;-2,737;0,134;-0,207;-0,523;1,996
"medeiros";-2,4;0,394;14,141;-1,167;0,011;-0,621;-0,758
"licença";0,046;0,394;5,735;-0,169;-3,379;-0,002;-0,758
"leste";-2,635;-2,566;-0,176;-1,314;-3,567;-0,722;66,553
"justo";21,777;-0,796;-3,059;-1,314;-0,396;-0,722;-0,055
"jae_in";-4,819;-2,566;-3,059;-3,232;-3,567;-2,466;135,833
"jacob";-4,819;47,78;-0,176;0,654;-1,585;-2,466;-2,666
"inventar";-1,106;-2,566;-1,176;-1,314;6,349;-2,466;15,697
"individual";14,752;6,599;-2,415;-2,551;-2,815;-0,341;-2,104
"governança";-4,819;-2,566;-3,059;63,645;0,397;-2,466;-2,666
"figura";3,903;-0,689;-1,039;0,862;-0,296;0,479;-2,526
"fechamento";-0,925;-0,689;-0,113;0,862;0,562;4,721;-2,526
"extremista";0,895;-2,296;-2,737;-0,104;-3,191;-2,206;34,204
"explodir";0,046;-2,431;-1,039;-0,169;-3,379;-2,336;39,867
"exato";0,641;-0,01;9,472;-1,167;-3,379;-2,336;0,321
"ex_presidentes";-2,635;-0,796;38,776;-3,232;1,588;-2,466;-2,666
"errar";7,614;2,205;-0,906;-1,023;-3,191;0,64;-2,385
"engevix";-4,819;0,277;-3,059;0,025;39,666;-2,466;-2,666
"discursar";0,441;-0,796;0,06;0,025;-3,567;7,578;-0,871
"diplomacia";-2,4;-2,431;-2,898;-3,062;-3,379;-2,336;112,889
"destino";3,903;-0,01;-2,898;0,862;1,951;-2,336;-2,526
"despacho";-4,565;32,835;1,059;-1,167;0,011;-2,336;-2,526
"desdobramento";-4,819;0,277;17,918;-1,314;0,397;-0,722;-0,871
"custar";-0,14;-0,689;-2,898;13,007;4,177;-2,336;-2,526
"curto";-0,23;-0,033;-3,059;0,025;-3,567;-2,466;36,723
"culpa";-2,4;4,349;-2,898;8,626;0,011;-0,002;-2,526
"critério";-0,925;1,84;-2,898;2,553;0,562;0,479;-2,526
"cortar";13,973;-2,431;-2,898;0,067;-3,379;-0,621;1,651
"contabilizar";-2,4;-2,431;-1,039;8,626;4,177;-0,002;-0,758
"condução";-2,635;0,277;12,733;0,654;-3,567;0,35;-2,666
"concorrer";-4,819;-2,566;-3,059;-1,314;-3,567;129,933;-2,666
"comunista";8,709;-2,566;-3,059;-1,314;-3,567;-0,722;15,697
"cio";-4,819;-2,566;-3,059;-3,232;101,536;-2,466;-2,666
"científico";12,411;-0,796;-1,176;0,025;-3,567;-2,466;1,356
"caráter";1,527;3,785;0,06;-0,244;-0,396;-0,722;-2,666
"carvalho";1,527;1,528;2,478;-1,314;-0,396;-0,722;-2,666
"bendine";-4,311;-2,296;0,206;-2,892;56,754;-2,206;-2,385
"barrar";-4,565;1,84;5,735;-1,167;-3,379;13,346;-2,526
"barack";-2,635;-2,566;-3,059;-1,314;-3,567;-2,466;105,186
"atrapalhar";-2,635;-2,566;5,013;0,025;-3,567;24,15;-2,666
"aproximar";1,527;-0,796;-0,176;-1,314;-0,396;-0,722;6,57
"apresentador";-1,106;-2,566;-3,059;-1,314;-3,567;17,588;15,697
"aprender";33,758;-2,566;-3,059;0,025;-3,567;-2,466;-0,055
"apontado";-4,819;16,599;0,06;-1,314;3,572;-2,466;-0,871
"aplauso";-1,267;-0,675;-0,804;-0,85;-0,937;38,607;-0,701
"amaral";-2,4;-2,431;85,071;-1,167;-3,379;-2,336;-2,526
"ásia";-2,4;-2,431;-2,898;-1,167;-3,379;-0,621;84,419
"virtude";20,109;-0,39;0,476;-0,746;-2,815;-1,946;-2,104
"violação";-0,14;-0,689;0,12;0,862;-0,296;-2,336;4,013
"uruguai";2,404;-0,585;-0,906;20,249;-3,191;-2,206;-2,385
"tríplex";-4,565;25,012;-2,898;-3,062;15,877;-2,336;-2,526
"transportar";-0,925;-2,431;-1,039;0,862;-1,419;-2,336;31,311
"tarifa";-4,311;-2,296;-2,737;20,249;0,768;-2,206;1,996
"soldado";-0,021;-2,161;-2,576;-0,883;-3,003;-0,43;47,387
"soares";-0,925;1,84;5,735;-3,062;4,177;-2,336;-2,526
"significativo";-2,166;-2,296;-2,737;20,249;-1,256;-0,523;4,631
"separar";6,57;-0,01;-0,113;-3,062;-3,379;-0,621;4,013
"seguido";0,641;-2,431;-2,898;18,284;-1,419;-2,336;0,321
"sala";4,644;0,54;-2,737;3,042;-0,207;-2,206;-2,385
"rogério";-1,707;0,03;26,808;-0,746;-2,815;0,051;-2,104
"revolução";52,747;-2,431;-2,898;-3,062;-3,379;-0,621;-0,758
"resistência";7,614;-2,296;-2,737;-1,023;-3,191;21,234;-2,385
"resistir";1,927;-2,431;-1,039;0,862;-3,379;4,721;-0,023
"requião";-3,803;66,549;-0,65;-0,746;-2,815;-0,341;-2,104
"razoável";0,117;27,407;-0,062;-2,892;-3,191;0,001;-2,385
"radar";0,117;-2,296;-2,737;-0,104;-3,191;0,64;19,096
"procuradora_geral";-2,4;-2,431;72,941;-1,167;-1,419;-2,336;-2,526
"previdenciário";-4,565;-2,431;-2,898;0,862;-3,379;78,053;-2,526
"preconceito";23,418;-2,161;-2,576;0,231;-3,003;-2,076;0,001
"postura";-4,565;0,394;0,12;-3,062;-3,379;13,346;4,013
"postar";13,973;-0,689;0,12;-3,062;-3,379;-0,621;0,321
"perícia";-2,166;-0,585;-0,062;1,113;17,682;-2,206;-2,385
"pautar";0,046;7,921;0,12;0,067;-1,419;-0,621;-2,526
"parceria";0,046;-2,431;-1,039;24,459;-1,419;-2,336;-0,023
"mentir";0,117;-0,585;3,455;-2,892;0,768;0,64;-2,385
"massa";1,927;-2,431;-2,898;0,862;-1,419;-2,336;11,835
"jefferson";0,046;7,921;0,12;-3,062;-1,419;2,052;-2,526
"investidor";0,046;-2,431;-2,898;13,007;0,562;-0,002;-2,526
"intolerância";45,888;-0,301;-2,253;-2,381;-2,627;-1,816;-1,964
"intenso";0,117;-2,296;-2,737;9,747;0,768;0,001;-2,385
"indireto";-2,166;-2,296;-0,062;-0,104;-3,191;47,513;-0,648
"independente";7,614;-2,296;-0,906;0,134;-1,256;-0,523;0,454
"inaudível";10,831;-1,62;7,79;-2,04;-2,251;-1,556;-1,683
"ina";-4,565;-2,431;-2,898;-3,062;96,184;-2,336;-2,526
"impressão";6,57;-0,689;-1,039;0,862;-0,296;-0,621;-0,758
"ignorar";6,57;-0,689;-2,898;-1,167;-3,379;-0,621;11,835
"horizonte";2,972;-2,161;17,547;-2,721;-3,003;-0,43;-0,542
"fugir";0,895;4,995;-0,906;1,113;-3,191;0,001;-2,385
"frio";-0,14;-0,01;-2,898;-1,167;0,011;-2,336;23,786
"fluminense";-0,925;1,84;-0,113;5,141;-3,379;2,052;-2,526
"fernandes";-0,752;0;0,206;-2,892;12,527;0,001;-2,385
"federação";-0,925;-2,431;2,931;0,862;-3,379;8,486;-0,758
"exportar";-4,311;-2,296;0,206;34,547;-3,191;-2,206;0,454
"excluir";-2,166;-0,585;3,455;3,042;-1,256;0,001;-0,004
"ex_primeira_dama";-4,565;-2,431;-2,898;-3,062;96,184;-2,336;-2,526
"escalão";2,404;-2,296;-2,737;-1,023;-0,207;0,64;4,631
"diretório";-4,311;0;0,206;-2,892;0,768;21,234;-2,385
"desempenho";-4,565;-0,01;-2,898;31,53;-3,379;4,721;-2,526
"desconfiança";-0,14;-2,431;-1,039;5,141;0,011;0,479;-0,023
"derrota";0,895;-2,296;-0,906;-2,892;-3,191;9,515;4,631
"depor";-0,14;-0,689;14,141;-3,062;1,951;-0,621;-2,526
"demonstração";-0,925;0,394;-0,113;-3,062;0,562;-2,336;11,835
"dallagnol";13,973;1,84;-1,039;0,067;-3,379;-2,336;-2,526
"corrupto";18,71;-0,01;-0,113;-1,167;-1,419;-0,621;-2,526
"correto";1,927;1,84;-1,039;-0,169;-1,419;-0,002;-0,023
"cooperativa";-1,935;-2,161;-0,776;-0,053;42,264;-2,076;-2,245
"convite";-1,935;-2,161;-0,024;-0,883;1,024;16,44;-0,542
"constatar";-0,925;18,252;-1,039;2,553;-1,419;-2,336;-0,758
"confessar";-0,752;4,995;0,206;-1,023;4,875;-2,206;-2,385
"complementar";-4,565;7,921;1,059;-1,167;1,951;-0,621;-0,758
"começo";0,046;-2,431;1,059;-1,167;0,011;0,479;0,321
"combustível";-4,311;-0,585;-2,737;-1,023;-3,191;-2,206;91,103
"cofre";-2,166;0;0,206;0,134;8,258;-0,523;-2,385
"cobra";-0,752;-0,585;-2,737;9,747;0,044;2,438;-2,385
"clique";-1,935;-2,161;60,997;-2,721;-1,096;-0,43;-2,245
"breve";1,927;-2,431;-2,898;0,067;-1,419;0,479;4,013
"blog";-4,565;-0,01;42,146;-3,062;-1,419;0,479;-2,526
"bastidor";-0,925;-0,689;-0,113;-3,062;-0,296;19,302;0,321
"baixar";-0,14;-2,431;-0,113;31,53;-1,419;-0,621;-2,526
"articulação";-0,925;-2,431;14,141;-3,062;-3,379;19,302;-2,526
"arquivar";-0,925;4,349;14,141;-3,062;-0,296;-0,621;-2,526
"argentino";2,404;-2,296;-0,906;14,523;-0,207;-2,206;-2,385
"aproximação";0,641;-0,689;-2,898;0,862;-3,379;2,052;1,651
"aplicativo";0;-1,35;-1,609;1,932;-0,252;8,022;-1,402
"apelação";-4,311;56,029;-2,737;-1,023;0,768;-2,206;-2,385
"alvorada";-2,4;-0,689;-1,039;-1,167;35,112;-0,002;-2,526
"alencar";-2,4;-2,431;-1,039;-0,169;43,198;-0,621;-2,526
"ajuste";-4,565;-2,431;-1,039;8,626;-1,419;26,355;-2,526
"administrar";-0,752;-2,296;-2,737;3,042;17,682;-2,206;-0,648
"adiantar";9,926;-2,431;-2,898;-3,062;0,011;8,486;-2,526
"acolher";-4,565;51,668;-1,039;-3,062;-0,296;-0,621;-0,023
"zeze";0,895;-2,296;45,931;-2,892;-3,191;-2,206;-2,385
"véspera";2,404;0;1,337;-2,892;-0,207;-2,206;0,454
"viabilizar";-4,311;-2,296;-2,737;-0,104;12,527;9,515;-0,648
"unanimidade";-2,166;56,029;-2,737;-1,023;-1,256;-0,523;-0,648
"trajetória";15,748;-2,296;-2,737;-1,023;-3,191;5,397;-0,648
"titular";-4,311;2,205;3,455;-2,892;-0,207;9,515;-2,385
"surpreender";8,822;-2,161;-0,776;-0,053;-3,003;0,017;0,621
"sonho";17,776;-2,161;-2,576;-0,883;-3,003;-0,43;2,402
"sangue";-0,752;-2,296;-2,737;-2,892;30,652;-2,206;1,996
"rodovia";-3,295;0,152;11,382;0,768;-0,002;-1,686;-1,823
"revisor";-3,803;80,213;-2,415;-2,551;-0,068;-1,946;-2,104
"repudiar";-0,069;2,205;6,561;-0,104;-0,207;-2,206;-2,385
"reconhecimento";3,432;5,278;-1,931;-0,37;-0,502;-1,556;-0,174
"ramo";0,895;-2,296;6,561;-1,023;0,768;-0,523;-2,385
"quantidade";8,822;0,006;-0,776;-0,883;-3,003;0,017;0,001
"proibição";0;0,03;-0,65;4,283;-2,815;-1,946;2,881
"primeiro_ministro";0,228;-2,161;-2,576;-2,721;0,106;-0,43;21,14
"prevalecer";-0,069;-0,585;-2,737;26,923;-3,191;0,001;-0,648
"pmdb_al";-4,311;2,205;0,206;-2,892;-1,256;28,833;-2,385
"pista";4,461;-1,89;5,616;-0,615;-0,787;-1,816;-0,344
"pesquisador";4,644;-2,296;-2,737;9,747;-3,191;-2,206;0,454
"perfil";7,614;-0,585;-0,906;-0,104;-1,256;-0,523;0,454
"pensão";-4,311;-0,585;-2,737;5,92;23,724;-2,206;-2,385
"passagem";0,013;0,077;-0,528;5,073;-2,627;1,369;-1,964
"paris";5,509;-2,161;-2,576;3,613;-3,003;-2,076;2,402
"parcela";-4,311;-2,296;1,337;20,249;0,768;-2,206;-2,385
"organizador";0,057;-0,54;-0,643;0,354;-0,75;5,85;-0,561
"onda";8,822;-2,161;-2,576;-0,053;-0,13;-2,076;2,402
"ocorrência";-0,752;2,205;0,206;14,523;-3,191;-2,206;-2,385
"núcleo";0,117;0;6,561;-0,104;0,044;-2,206;-2,385
"notório";-2,166;0,54;28,858;-0,104;-1,256;-2,206;-2,385
"mobilização";2,404;-0,585;-2,737;1,113;-3,191;2,438;-0,004
"mata";33,488;-1,755;-0,414;-2,211;-2,439;-0,183;-1,823
"marginal";41,964;-1,755;-0,414;-2,211;-2,439;-1,686;-1,823
"liberação";-0,752;0,54;3,455;-1,023;0,044;0,64;-2,385
"lewandowski";-0,069;56,029;-0,062;-2,892;-3,191;-2,206;-2,385
"leandro";-2,166;56,029;-0,062;-1,023;-1,256;-2,206;-2,385
"irresponsável";0,117;-0,585;-0,906;-1,023;-3,191;-0,523;26,103
"indivíduo";4,644;-2,296;-2,737;5,92;-1,256;-2,206;0,454
"incentivar";-0,752;-0,585;-0,062;20,249;-3,191;-0,523;-0,004
"igreja";20,109;-0,39;-2,415;-2,551;-2,815;3,416;-2,104
"ideal";7,614;-0,585;-2,737;1,113;-1,256;0,64;-2,385
"hotel";20,91;-2,296;-0,062;-0,104;-1,256;-0,523;-2,385
"goiás";-2,788;0,417;4,677;-0,261;-0,371;2,708;-1,542
"gesto";3,65;-0,39;8,607;-0,746;-2,815;-0,341;-2,104
"frango";-3,803;-2,025;4,778;7,857;0,201;-1,946;-0,44
"forçar";4,644;0;-0,062;-2,892;-1,256;-0,523;1,996
"flagrar";-1,935;2,632;17,547;-2,721;0,106;-2,076;-2,245
"firme";11,316;0,54;-2,737;-2,892;-3,191;-0,523;1,996
"favela";41,147;-2,025;-2,415;-0,017;-2,815;-1,946;-2,104
"explicação";2,404;-2,296;0,206;0,134;0,044;-2,206;-0,004
"exceção";-0,021;-0,486;-0,776;16,25;-1,096;0,017;-2,245
"estudante";41,964;-1,755;-2,092;-0,489;-2,439;-1,686;-1,823
"estimular";0;-0,39;-2,415;18,23;-2,815;-1,946;0,829
"engenheiro";-0,021;-2,161;-2,576;-0,883;42,264;-2,076;-2,245
"encerrar";1,212;0,721;-0,024;1,418;-1,096;-0,43;-2,245
"emergente";-1,707;-2,025;-2,415;51,884;-2,815;-1,946;0,015
"elaborar";-0,069;0,54;-0,906;0,134;0,044;0,64;-0,648
"dignidade";0,389;3,135;-0,65;0,363;-2,815;1,076;-2,104
